task,calibration,updates,contrast,n_paired_seeds,mean,sample_sd,ci95_low,ci95_high,minimum,maximum,positive_seeds,negative_seeds
vision,bn_only,2048,gain_a2_e4,5,0.023549073941781584,0.004108477139057332,0.018447725790770895,0.028650422092792272,0.017338055918988626,0.02691726729146038,5,0
vision,bn_only,2048,gain_a4_e2,5,-0.01396133126739878,0.0022213642348663633,-0.016719519264729796,-0.011203143270067767,-0.016306601605657445,-0.011360978802805732,0,5
vision,bn_only,2048,gain_a4_e4,5,0.0036247599168868216,0.001211919596444847,0.0021199629852636207,0.005129556848510023,0.0021776735843859196,0.004806244601775145,5,0
vision,raw,512,P2,5,0.15442884500043705,0.009472174047411963,0.14266758750104558,0.16619010249982852,0.14377060711360534,0.16644481432841873,5,0
vision,raw,512,P4,5,0.021210981535102525,0.014111343111984557,0.0036894348266506317,0.038732528243554415,0.0022571438366838503,0.04144020869194076,5,0
vision,raw,512,I,5,0.17563982653553958,0.007366895792933468,0.16649261725093534,0.18478703582014383,0.16870195816510258,0.1852108158055461,5,0
vision,raw,512,native_gap,5,0.0979466547686351,0.007353396444953468,0.08881620713841683,0.10707710239885336,0.08566364026278017,0.10414591706935328,5,0
vision,raw,512,gap_recovery,5,0.15617373309787594,0.007353396444953468,0.14704328546765766,0.16530418072809422,0.14997447079715776,0.16845674760373086,5,0
vision,raw,512,gap_recovery_percent,5,61.45659323482291,2.8936664652094723,57.86363176216276,65.04955470748305,59.017095029753804,66.29013477353139,5,0
vision,raw,512,inference_T2_minus_T4_after_a2,5,0.07673567323353256,0.008943543444969294,0.06563079732154292,0.0878405491455222,0.061216343722702016,0.08340649642609632,5,0
vision,raw,512,inference_T2_minus_T4_after_a4,5,0.25237549976907214,0.004605972672989155,0.24665642932431114,0.25809457021383314,0.24642715952824812,0.2584655846685404,5,0
vision,raw,512,gain_a2_e2,5,0.12965582230164902,0.02789788830884314,0.09501601876264879,0.16429562584064925,0.08628444410460068,0.1581309248488163,5,0
vision,raw,512,gain_a2_e4,5,-0.047728892331329445,0.03634957575596099,-0.09286285189748658,-0.0025949327651723086,-0.10661960003920834,-0.014978079207940143,0,5
vision,raw,512,gain_a4_e2,5,-0.024773022698788026,0.025511240967410177,-0.05644941215752221,0.006903366759946156,-0.057486163009004665,0.012319507089862514,1,4
vision,raw,512,gain_a4_e4,5,-0.026517910796226916,0.02629016186564636,-0.05916145829174951,0.006125636699295674,-0.06517939134726758,0.008156454051658546,1,4
