task,calibration,updates,seed,Q22,Q24,Q42,Q44,Q02,Q04,gain_a2_e2,gain_a2_e4,gain_a4_e2,gain_a4_e4,P2,P4,I,inference_T2_minus_T4_after_a2,inference_T2_minus_T4_after_a4,initial_native_gap,native_gap,gap_recovery,gap_recovery_percent
vision,bn_only,512,9621,1.4251257610917616,1.284595082378568,1.576197949426109,1.3137216268130578,1.5622532091355417,1.3147708837514511,0.13712744804378008,0.030175801372883226,-0.013944740290567248,0.001049256938393306,0.15107218833434732,-0.02912654443448992,0.1219456438998574,0.1405306787131937,0.2624763226130511,0.24748232538409054,0.11140413427870377,0.13607819110538677,54.98501393753859
vision,bn_only,512,9622,1.4274004623380256,1.2874712982876984,1.5811906171864598,1.3218410219118697,1.5622532091355417,1.3147708837514511,0.13485274679751602,0.027299585463752774,-0.018937408050918147,-0.007070138160418571,0.15379015484843417,-0.034369723624171344,0.11942043122426282,0.1399291640503273,0.2593495952745901,0.24748232538409054,0.10555944042615595,0.1419228849579346,57.346675055550506
vision,bn_only,512,9623,1.435145964256348,1.2933841089500464,1.5841012757605872,1.3196128296875396,1.5622532091355417,1.3147708837514511,0.12710724487919367,0.021386774801404718,-0.02184806662504557,-0.004841945936088443,0.14895531150423924,-0.02622872073749316,0.12272659076674608,0.1417618553063016,0.26448844607304767,0.24748232538409054,0.11553313456880843,0.1319491908152821,53.316611847128094
vision,bn_only,512,9624,1.4260191742114257,1.28452146357327,1.582169013274531,1.3194638781710528,1.5622532091355417,1.3147708837514511,0.136234034924116,0.030249420178181108,-0.0199158041389893,-0.004692994419601693,0.1561498390631053,-0.0349424145977828,0.12120742446532251,0.14149771063815564,0.26270513510347815,0.24748232538409054,0.10655529604037284,0.1409270293437177,56.9442804147731
vision,bn_only,512,9625,1.4292221346696838,1.2920059068783245,1.5813470747254323,1.3223555435035146,1.5622532091355417,1.3147708837514511,0.13303107446585782,0.02276497687312662,-0.01909386558989068,-0.007584659752063461,0.1521249400557485,-0.03034963662519008,0.12177530343055842,0.13721622779135934,0.25899153122191776,0.24748232538409054,0.10686659116616926,0.14061573421792128,56.81849562375286
vision,bn_only,2048,9621,1.4019091019508663,1.2974328278324625,1.5775215538869378,1.3125932101670652,1.5622532091355417,1.3147708837514511,0.1603441071846754,0.017338055918988626,-0.015268344751396157,0.0021776735843859196,0.17561245193607156,-0.015160382334602707,0.16045206960146885,0.10447627411840377,0.2649283437198726,0.24748232538409054,0.08931589178380106,0.15816643360028948,63.91019372992252
vision,bn_only,2048,9622,1.3949511304615532,1.2934237684920955,1.5736141879383474,1.3122817964047193,1.5622532091355417,1.3147708837514511,0.1673020786739885,0.02134711525935562,-0.011360978802805732,0.002489087346731811,0.17866305747679423,-0.01885802791262381,0.15980502956417042,0.10152736196945766,0.2613323915336281,0.24748232538409054,0.08266933405683385,0.16481299132725669,66.59586339002927
vision,bn_only,2048,9623,1.3984311261595925,1.2878536164599907,1.578559810741199,1.3106837036597543,1.5622532091355417,1.3147708837514511,0.16382208297594913,0.02691726729146038,-0.016306601605657445,0.00408718009169684,0.18012868458160658,-0.022830087199763538,0.15729859738184304,0.11057750969960178,0.2678761070814448,0.24748232538409054,0.08774742249983825,0.1597349028842523,64.54396395231257
vision,bn_only,2048,9624,1.3908775916190819,1.2888074104859553,1.5740739313705825,1.3102072697916067,1.5622532091355417,1.3147708837514511,0.1713756175164598,0.025963473265495862,-0.011820722235040826,0.0045636139598443926,0.18319633975150063,-0.02139985930565147,0.16179648044584916,0.1020701811331266,0.26386666157897576,0.24748232538409054,0.08067032182747513,0.1668120035566154,67.40360278162271
vision,bn_only,2048,9625,1.39244653920111,1.2885914257778437,1.5773032180776354,1.309964639149676,1.5622532091355417,1.3147708837514511,0.1698066699344316,0.026179457973607434,-0.01505000894209374,0.004806244601775145,0.18485667887652535,-0.02137321337183229,0.16348346550469306,0.10385511342326637,0.2673385789279594,0.24748232538409054,0.08248190005143408,0.16500042533265646,66.67159970982863
