id,task,state,updates,infer_T,calibration,engine,batch,split,checkpoint,identity_path,gpu,checkpoint_sha256,ce,accuracy,items,targets,seed,adapt_T
vision_initial_e4_raw_eager,vision,shared_initial,0,4,raw,eager,4,test,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,/root/autodl-tmp/snn0907/direction1_budget_rotation_20260907/results/reconstructed_identity_p0.0/best.pt,1,3d453ec2677252d88eccd90e665e492c03082209b9584dc2649757f84b5eba63,1.3830965735921403,0.6675,10000,10000,,
vision_s9621_K512_a2_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step512.pt,0,0f9f95f5ce14dbc2c462a290f0a55a9e9aa733dbade7678458200a886c4369a4,1.4877933649581507,0.6402,10000,10000,9621.0,2.0
vision_s9621_K512_a2_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9621_T2_lr2e-05/step512.pt,0,0f9f95f5ce14dbc2c462a290f0a55a9e9aa733dbade7678458200a886c4369a4,1.4043868685320544,0.65,10000,10000,9621.0,2.0
vision_s9621_K512_a4_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step512.pt,0,5ed390a7653a1ba84acb84df5ae6ebc09430b0ba2c14374172ae4802de2bf00a,1.6542381792865695,0.6126,10000,10000,9621.0,4.0
vision_s9621_K512_a4_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9621_T4_lr5e-06/step512.pt,0,5ed390a7653a1ba84acb84df5ae6ebc09430b0ba2c14374172ae4802de2bf00a,1.4021297246953706,0.6625,10000,10000,9621.0,4.0
vision_s9622_K512_a2_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9622_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9622_T2_lr2e-05/step512.pt,1,dfd002f5b8f2dda6231648715bf1d1d6457f30627a198856b632890208667a5a,1.5130489476342686,0.6367,10000,10000,9622.0,2.0
vision_s9622_K512_a2_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9622_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9622_T2_lr2e-05/step512.pt,1,dfd002f5b8f2dda6231648715bf1d1d6457f30627a198856b632890208667a5a,1.435738816291385,0.649,10000,10000,9622.0,2.0
vision_s9622_K512_a4_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9622_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9622_T4_lr5e-06/step512.pt,1,f6c0ed8d4278e7fd2ddc8463b5d6217025eacfba57e8d66ceade4bca481244c3,1.6714917805976235,0.6096,10000,10000,9622.0,4.0
vision_s9622_K512_a4_e4_raw_eager,vision,adapted,512,4,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9622_T4_lr5e-06/step512.pt,/root/snn_revision_round2/models/formal/s9622_T4_lr5e-06/step512.pt,1,f6c0ed8d4278e7fd2ddc8463b5d6217025eacfba57e8d66ceade4bca481244c3,1.413026195929083,0.6649,10000,10000,9622.0,4.0
vision_s9623_K512_a2_e2_raw_eager,vision,adapted,512,2,raw,eager,4,test,/root/snn_revision_round2/models/formal/s9623_T2_lr2e-05/step512.pt,/root/snn_revision_round2/models/formal/s9623_T2_lr2e-05/step512.pt,0,660ed86374ad457d66995b5a7f851ce5df1a7359c8ed6ca6ea4b5f6a2e34cf12,1.5509325173540507,0.6329,10000,10000,9623.0,2.0
