task,calibration,updates,seed,adapt_T,infer_T,initial_ce,ce,gain
vision,bn_only,2048,9622,2,4,1.3147708837514511,1.2934237684920955,0.02134711525935562
vision,bn_only,2048,9623,2,4,1.3147708837514511,1.2878536164599907,0.02691726729146038
vision,bn_only,2048,9624,2,4,1.3147708837514511,1.2888074104859553,0.025963473265495862
vision,bn_only,2048,9625,2,4,1.3147708837514511,1.2885914257778437,0.026179457973607434
vision,bn_only,2048,9621,4,2,1.5622532091355417,1.5775215538869378,-0.015268344751396157
vision,bn_only,2048,9622,4,2,1.5622532091355417,1.5736141879383474,-0.011360978802805732
vision,bn_only,2048,9623,4,2,1.5622532091355417,1.578559810741199,-0.016306601605657445
vision,bn_only,2048,9624,4,2,1.5622532091355417,1.5740739313705825,-0.011820722235040826
vision,bn_only,2048,9625,4,2,1.5622532091355417,1.5773032180776354,-0.01505000894209374
vision,bn_only,2048,9621,4,4,1.3147708837514511,1.3125932101670652,0.0021776735843859196
vision,bn_only,2048,9622,4,4,1.3147708837514511,1.3122817964047193,0.002489087346731811
vision,bn_only,2048,9623,4,4,1.3147708837514511,1.3106837036597543,0.00408718009169684
vision,bn_only,2048,9624,4,4,1.3147708837514511,1.3102072697916067,0.0045636139598443926
vision,bn_only,2048,9625,4,4,1.3147708837514511,1.309964639149676,0.004806244601775145
vision,raw,512,9621,2,2,1.6372169614586514,1.4877933649581507,0.14942359650050063
vision,raw,512,9622,2,2,1.6372169614586514,1.5130489476342686,0.1241680138243828
vision,raw,512,9623,2,2,1.6372169614586514,1.5509325173540507,0.08628444410460068
vision,raw,512,9624,2,2,1.6372169614586514,1.5069448292287067,0.13027213222994471
vision,raw,512,9625,2,2,1.6372169614586514,1.479086036609835,0.1581309248488163
vision,raw,512,9621,2,4,1.3830965735921403,1.4043868685320544,-0.02129029493991408
vision,raw,512,9622,2,4,1.3830965735921403,1.435738816291385,-0.05264224269924456
vision,raw,512,9623,2,4,1.3830965735921403,1.4897161736313487,-0.10661960003920834
vision,raw,512,9624,2,4,1.3830965735921403,1.4262108183624804,-0.04311424477034009
vision,raw,512,9625,2,4,1.3830965735921403,1.3980746528000805,-0.014978079207940143
vision,raw,512,9621,4,2,1.6372169614586514,1.6542381792865695,-0.0170212178279181
vision,raw,512,9622,4,2,1.6372169614586514,1.6714917805976235,-0.034274819138972124
vision,raw,512,9623,4,2,1.6372169614586514,1.694703124467656,-0.057486163009004665
vision,raw,512,9624,4,2,1.6372169614586514,1.6646193820665591,-0.027402420607907763
vision,raw,512,9625,4,2,1.6372169614586514,1.6248974543687889,0.012319507089862514
vision,raw,512,9621,4,4,1.3830965735921403,1.4021297246953706,-0.019033151103230228
vision,raw,512,9622,4,4,1.3830965735921403,1.413026195929083,-0.02992962233694274
vision,raw,512,9623,4,4,1.3830965735921403,1.448275964939408,-0.06517939134726758
vision,raw,512,9624,4,4,1.3830965735921403,1.409700416837493,-0.026603843245352587
vision,raw,512,9625,4,4,1.3830965735921403,1.3749401195404818,0.008156454051658546
vision,raw,2048,9621,2,2,1.6372169614586514,1.4923532110852655,0.14486375037338584
vision,raw,2048,9622,2,2,1.6372169614586514,1.489191537456494,0.14802542400215746
vision,raw,2048,9623,2,2,1.6372169614586514,1.4479143535020529,0.18930260795659848
vision,raw,2048,9624,2,2,1.6372169614586514,1.4659756806020392,0.17124128085661217
vision,raw,2048,9625,2,2,1.6372169614586514,1.4679361958349588,0.16928076562369254
vision,raw,2048,9621,2,4,1.3830965735921403,1.413823946544563,-0.03072737295242267
vision,raw,2048,9622,2,4,1.3830965735921403,1.4045422931218403,-0.02144571952969998
vision,raw,2048,9623,2,4,1.3830965735921403,1.377302328016155,0.005794245575985402
vision,raw,2048,9624,2,4,1.3830965735921403,1.3869742137166905,-0.0038776401245501635
vision,raw,2048,9625,2,4,1.3830965735921403,1.3842563668338466,-0.0011597932417062307
vision,raw,2048,9621,4,2,1.6372169614586514,1.6509054890748114,-0.013688527616160018
vision,raw,2048,9622,4,2,1.6372169614586514,1.669941397342924,-0.03272443588427265
vision,raw,2048,9623,4,2,1.6372169614586514,1.611600865015341,0.02561609644331031
vision,raw,2048,9624,4,2,1.6372169614586514,1.6450154125851113,-0.007798451126459938
vision,raw,2048,9625,4,2,1.6372169614586514,1.6449459741231054,-0.007729012664454027
vision,raw,2048,9621,4,4,1.3830965735921403,1.4056980814320268,-0.02260150783988646
vision,raw,2048,9622,4,4,1.3830965735921403,1.4160923048636178,-0.03299573127147748
vision,raw,2048,9623,4,4,1.3830965735921403,1.368510542570916,0.014586031021224244
vision,raw,2048,9624,4,4,1.3830965735921403,1.3878709265050246,-0.004774352912884305
vision,raw,2048,9625,4,4,1.3830965735921403,1.3926004802197915,-0.009503906627651215
