init_id,state,updates,adapt_T,infer_T,calibration,cal_T,cal_seed,n,ce_mean,ce_sd,accuracy_mean
B,adapted,2048,2.0,4,bn_cross,2.0,9640.0,3,1.3443944468391826,0.006278543528140954,0.6524666666666666
B,adapted,2048,2.0,4,bn_cross,2.0,9740.0,3,1.3465621027570374,0.0023002263958714817,0.6513666666666666
B,adapted,2048,2.0,4,bn_cross,2.0,9840.0,3,1.3432845001259148,0.0029072912633536893,0.6525
B,adapted,2048,2.0,4,bn_cross,4.0,9640.0,3,1.319825228129077,0.002030953535409167,0.6569333333333334
B,adapted,2048,2.0,4,bn_cross,4.0,9740.0,3,1.3141675285902903,0.0008051449376034938,0.6584
B,adapted,2048,2.0,4,bn_cross,4.0,9840.0,3,1.3186515785622837,0.0019411208865755785,0.6582
B,adapted,2048,2.0,4,raw,,,3,1.4337408217931262,0.03015920431302842,0.6457
B,adapted,2048,4.0,2,bn_cross,2.0,9640.0,3,1.5719089964413395,0.005473933361629233,0.6306999999999999
B,adapted,2048,4.0,2,bn_cross,2.0,9740.0,3,1.5674450300660139,0.010243257242010547,0.6305999999999999
B,adapted,2048,4.0,2,bn_cross,2.0,9840.0,3,1.575689635507553,0.005855466116173232,0.6315333333333334
B,adapted,2048,4.0,2,bn_cross,4.0,9640.0,3,1.5263248836715704,0.001503423539176428,0.6316333333333334
B,adapted,2048,4.0,2,bn_cross,4.0,9740.0,3,1.5221155167089,0.001558331307908045,0.6323333333333333
B,adapted,2048,4.0,2,bn_cross,4.0,9840.0,3,1.529166494995173,0.0046512822044424565,0.6321333333333333
B,adapted,2048,4.0,2,raw,,,3,1.6321421840110482,0.01094345827028438,0.6198666666666667
B,adapted,2048,4.0,4,bn_cross,2.0,9640.0,3,1.437631734995059,0.0070494407490046115,0.6472666666666667
B,adapted,2048,4.0,4,bn_cross,2.0,9740.0,3,1.4380691781033412,0.007642651254520124,0.6487333333333334
B,adapted,2048,4.0,4,bn_cross,2.0,9840.0,3,1.4387595414298122,0.006186570157282453,0.6474333333333333
B,adapted,2048,4.0,4,bn_cross,4.0,9640.0,3,1.320476183814082,0.0010971153890749102,0.6682333333333333
B,adapted,2048,4.0,4,bn_cross,4.0,9740.0,3,1.318503911285343,0.001160907912728787,0.6668333333333333
B,adapted,2048,4.0,4,bn_cross,4.0,9840.0,3,1.3216048674671834,0.0015913682755540816,0.6656333333333334
B,adapted,2048,4.0,4,raw,,,3,1.4219649477647929,0.0184387963599735,0.6598
B,shared_initial,0,,2,bn_cross,2.0,9640.0,1,1.5701051854603458,,0.6267
B,shared_initial,0,,2,bn_cross,2.0,9740.0,1,1.5669697920594365,,0.6305
B,shared_initial,0,,2,bn_cross,2.0,9840.0,1,1.5746251214004587,,0.6315
B,shared_initial,0,,2,bn_cross,4.0,9640.0,1,1.5333346017198637,,0.6308
B,shared_initial,0,,2,bn_cross,4.0,9740.0,1,1.5238243010745616,,0.6308
B,shared_initial,0,,2,bn_cross,4.0,9840.0,1,1.5339106956625357,,0.6281
B,shared_initial,0,,2,raw,,,1,1.6176703350248747,,0.6174
B,shared_initial,0,,4,bn_cross,2.0,9640.0,1,1.4418288928307592,,0.6426
B,shared_initial,0,,4,bn_cross,2.0,9740.0,1,1.4409061337461928,,0.6457
B,shared_initial,0,,4,bn_cross,2.0,9840.0,1,1.4455294338269042,,0.645
B,shared_initial,0,,4,bn_cross,4.0,9640.0,1,1.327004912617983,,0.6646
B,shared_initial,0,,4,bn_cross,4.0,9740.0,1,1.3230954775501742,,0.6676
B,shared_initial,0,,4,bn_cross,4.0,9840.0,1,1.3250574565636692,,0.6652
B,shared_initial,0,,4,raw,,,1,1.3985256188071566,,0.6576
