init_id,condition,infer_T,updates,seed,contrast,value
A,raw,4,2048,9623,accuracy_gain_a2_pp,-1.1800000000000033
A,raw,4,2048,9623,G_a4,0.022462523941398915
A,raw,4,2048,9623,accuracy_gain_a4_pp,0.49000000000000155
A,raw,4,2048,9624,P,0.000858437683345814
A,raw,4,2048,9624,accuracy_target_minus_reuse_pp,1.3900000000000023
A,raw,4,2048,9624,G_a2,0.0016838709639328542
A,raw,4,2048,9624,accuracy_gain_a2_pp,-1.1800000000000033
A,raw,4,2048,9624,G_a4,0.0025423086472786682
A,raw,4,2048,9624,accuracy_gain_a4_pp,0.20999999999999908
A,raw,4,2048,9625,P,-0.008618696682888505
A,raw,4,2048,9625,accuracy_target_minus_reuse_pp,1.2299999999999978
A,raw,4,2048,9625,G_a2,0.0015966572731849205
A,raw,4,2048,9625,accuracy_gain_a2_pp,-1.0199999999999987
A,raw,4,2048,9625,G_a4,-0.007022039409703584
A,raw,4,2048,9625,accuracy_gain_a4_pp,0.20999999999999908
A,bn,2,512,9621,P,0.15553865621509044
A,bn,2,512,9621,accuracy_target_minus_reuse_pp,1.6400000000000081
A,bn,2,512,9621,G_a2,0.15222402253458278
A,bn,2,512,9621,accuracy_gain_a2_pp,1.750000000000007
A,bn,2,512,9621,G_a4,-0.0033146336805076615
A,bn,2,512,9621,accuracy_gain_a4_pp,0.10999999999999899
A,bn,2,512,9622,P,0.17285567053741535
A,bn,2,512,9622,accuracy_target_minus_reuse_pp,1.9299999999999984
A,bn,2,512,9622,G_a2,0.1474192421917686
A,bn,2,512,9622,accuracy_gain_a2_pp,1.31
A,bn,2,512,9622,G_a4,-0.025436428345646744
A,bn,2,512,9622,accuracy_gain_a4_pp,-0.6199999999999983
A,bn,2,512,9623,P,0.1465781600281364
A,bn,2,512,9623,accuracy_target_minus_reuse_pp,0.8900000000000019
A,bn,2,512,9623,G_a2,0.12678997070651965
A,bn,2,512,9623,accuracy_gain_a2_pp,1.0199999999999987
A,bn,2,512,9623,G_a4,-0.019788189321616745
A,bn,2,512,9623,accuracy_gain_a4_pp,0.12999999999999678
A,bn,2,512,9624,P,0.15436036994992763
A,bn,2,512,9624,accuracy_target_minus_reuse_pp,1.9299999999999984
A,bn,2,512,9624,G_a2,0.1424365829979768
A,bn,2,512,9624,accuracy_gain_a2_pp,2.0100000000000007
A,bn,2,512,9624,G_a4,-0.011923786951950843
A,bn,2,512,9624,accuracy_gain_a4_pp,0.08000000000000229
A,bn,2,512,9625,P,0.15207154537457956
A,bn,2,512,9625,accuracy_target_minus_reuse_pp,1.1500000000000066
A,bn,2,512,9625,G_a2,0.13145743396854948
A,bn,2,512,9625,accuracy_gain_a2_pp,1.0800000000000032
A,bn,2,512,9625,G_a4,-0.02061411140603009
A,bn,2,512,9625,accuracy_gain_a4_pp,-0.07000000000000339
A,bn,2,1024,9621,P,0.15845910856876277
A,bn,2,1024,9621,accuracy_target_minus_reuse_pp,1.21
A,bn,2,1024,9621,G_a2,0.15466893222572975
A,bn,2,1024,9621,accuracy_gain_a2_pp,1.1500000000000066
A,bn,2,1024,9621,G_a4,-0.003790176343033025
A,bn,2,1024,9621,accuracy_gain_a4_pp,-0.05999999999999339
A,bn,2,1024,9622,P,0.16385488483940724
A,bn,2,1024,9622,accuracy_target_minus_reuse_pp,1.5700000000000047
A,bn,2,1024,9622,G_a2,0.15272572194163225
A,bn,2,1024,9622,accuracy_gain_a2_pp,1.6000000000000014
A,bn,2,1024,9622,G_a4,-0.011129162897774991
A,bn,2,1024,9622,accuracy_gain_a4_pp,0.029999999999996696
A,bn,2,1024,9623,P,0.1687295014802599
A,bn,2,1024,9623,accuracy_target_minus_reuse_pp,1.0000000000000009
A,bn,2,1024,9623,G_a2,0.15761671420538326
A,bn,2,1024,9623,accuracy_gain_a2_pp,0.9299999999999975
A,bn,2,1024,9623,G_a4,-0.011112787274876634
A,bn,2,1024,9623,accuracy_gain_a4_pp,-0.07000000000000339
A,bn,2,1024,9624,P,0.16988153277374818
A,bn,2,1024,9624,accuracy_target_minus_reuse_pp,1.739999999999997
A,bn,2,1024,9624,G_a2,0.1663176460365765
A,bn,2,1024,9624,accuracy_gain_a2_pp,2.1299999999999986
A,bn,2,1024,9624,G_a4,-0.003563886737171673
A,bn,2,1024,9624,accuracy_gain_a4_pp,0.39000000000000146
A,bn,2,1024,9625,P,0.16274284143052076
A,bn,2,1024,9625,accuracy_target_minus_reuse_pp,1.0999999999999899
A,bn,2,1024,9625,G_a2,0.16280997558790267
A,bn,2,1024,9625,accuracy_gain_a2_pp,1.4399999999999968
A,bn,2,1024,9625,G_a4,6.713415738190953e-05
A,bn,2,1024,9625,accuracy_gain_a4_pp,0.34000000000000696
A,bn,2,2048,9621,P,0.18240578432730392
A,bn,2,2048,9621,accuracy_target_minus_reuse_pp,2.400000000000002
A,bn,2,2048,9621,G_a2,0.1775247732170857
A,bn,2,2048,9621,accuracy_gain_a2_pp,2.070000000000005
A,bn,2,2048,9621,G_a4,-0.004881011110218214
A,bn,2,2048,9621,accuracy_gain_a4_pp,-0.32999999999999696
A,bn,2,2048,9622,P,0.15638325911567064
A,bn,2,2048,9622,accuracy_target_minus_reuse_pp,2.0199999999999996
A,bn,2,2048,9622,G_a2,0.16609781368833487
A,bn,2,2048,9622,accuracy_gain_a2_pp,2.1600000000000064
A,bn,2,2048,9622,G_a4,0.009714554572664236
A,bn,2,2048,9622,accuracy_gain_a4_pp,0.14000000000000679
A,bn,2,2048,9623,P,0.1589983535771724
A,bn,2,2048,9623,accuracy_target_minus_reuse_pp,0.9700000000000042
A,bn,2,2048,9623,G_a2,0.17006274209124972
A,bn,2,2048,9623,accuracy_gain_a2_pp,1.7900000000000027
A,bn,2,2048,9623,G_a4,0.011064388514077317
A,bn,2,2048,9623,accuracy_gain_a4_pp,0.8199999999999985
A,bn,2,2048,9624,P,0.17526870909597503
A,bn,2,2048,9624,accuracy_target_minus_reuse_pp,1.749999999999996
A,bn,2,2048,9624,G_a2,0.18211690945037406
A,bn,2,2048,9624,accuracy_gain_a2_pp,2.0000000000000018
A,bn,2,2048,9624,G_a4,0.006848200354399037
A,bn,2,2048,9624,accuracy_gain_a4_pp,0.2500000000000058
A,bn,2,2048,9625,P,0.1629970124154121
A,bn,2,2048,9625,accuracy_target_minus_reuse_pp,1.4799999999999924
A,bn,2,2048,9625,G_a2,0.1711751167599811
A,bn,2,2048,9625,accuracy_gain_a2_pp,1.6299999999999981
A,bn,2,2048,9625,G_a4,0.008178104344569004
A,bn,2,2048,9625,accuracy_gain_a4_pp,0.15000000000000568
A,bn,4,512,9621,P,-0.033838409707898975
A,bn,4,512,9621,accuracy_target_minus_reuse_pp,0.21999999999999797
A,bn,4,512,9621,G_a2,0.037736511504574466
A,bn,4,512,9621,accuracy_gain_a2_pp,-0.20999999999999908
A,bn,4,512,9621,G_a4,0.0038981017966754905
A,bn,4,512,9621,accuracy_gain_a4_pp,0.009999999999998899
A,bn,4,512,9622,P,-0.03201682780548576
A,bn,4,512,9622,accuracy_target_minus_reuse_pp,0.6799999999999917
A,bn,4,512,9622,G_a2,0.027283369113743516
A,bn,4,512,9622,accuracy_gain_a2_pp,-0.33999999999999586
A,bn,4,512,9622,G_a4,-0.004733458691742243
A,bn,4,512,9622,accuracy_gain_a4_pp,0.33999999999999586
A,bn,4,512,9623,P,-0.03754406444146885
A,bn,4,512,9623,accuracy_target_minus_reuse_pp,0.41999999999999815
A,bn,4,512,9623,G_a2,0.02750535837404322
A,bn,4,512,9623,accuracy_gain_a2_pp,-0.41999999999999815
A,bn,4,512,9623,G_a4,-0.010038706067425629
A,bn,4,512,9623,accuracy_gain_a4_pp,0.0
A,bn,4,512,9624,P,-0.030973012650740595
A,bn,4,512,9624,accuracy_target_minus_reuse_pp,0.5700000000000038
A,bn,4,512,9624,G_a2,0.029956874575099324
A,bn,4,512,9624,accuracy_gain_a2_pp,-0.37000000000000366
A,bn,4,512,9624,G_a4,-0.0010161380756412708
A,bn,4,512,9624,accuracy_gain_a4_pp,0.20000000000000018
A,bn,4,512,9625,P,-0.036344367863319293
A,bn,4,512,9625,accuracy_target_minus_reuse_pp,0.9800000000000031
A,bn,4,512,9625,G_a2,0.028531445176166015
A,bn,4,512,9625,accuracy_gain_a2_pp,-0.7099999999999995
A,bn,4,512,9625,G_a4,-0.007812922687153279
A,bn,4,512,9625,accuracy_gain_a4_pp,0.27000000000000357
A,bn,4,1024,9621,P,-0.030496877759904617
A,bn,4,1024,9621,accuracy_target_minus_reuse_pp,0.5499999999999949
A,bn,4,1024,9621,G_a2,0.03277649724234366
A,bn,4,1024,9621,accuracy_gain_a2_pp,-0.5499999999999949
A,bn,4,1024,9621,G_a4,0.0022796194824390437
A,bn,4,1024,9621,accuracy_gain_a4_pp,0.0
A,bn,4,1024,9622,P,-0.02390193518755268
A,bn,4,1024,9622,accuracy_target_minus_reuse_pp,0.6399999999999961
A,bn,4,1024,9622,G_a2,0.024393507624592248
A,bn,4,1024,9622,accuracy_gain_a2_pp,-0.21999999999999797
A,bn,4,1024,9622,G_a4,0.0004915724370395669
A,bn,4,1024,9622,accuracy_gain_a4_pp,0.41999999999999815
A,bn,4,1024,9623,P,-0.029639472054399096
A,bn,4,1024,9623,accuracy_target_minus_reuse_pp,0.7800000000000029
A,bn,4,1024,9623,G_a2,0.033459377221472186
A,bn,4,1024,9623,accuracy_gain_a2_pp,-0.42999999999999705
A,bn,4,1024,9623,G_a4,0.00381990516707309
A,bn,4,1024,9623,accuracy_gain_a4_pp,0.35000000000000586
A,bn,4,1024,9624,P,-0.02263332385330874
A,bn,4,1024,9624,accuracy_target_minus_reuse_pp,0.5899999999999905
A,bn,4,1024,9624,G_a2,0.03203922078950283
A,bn,4,1024,9624,accuracy_gain_a2_pp,-0.44999999999999485
A,bn,4,1024,9624,G_a4,0.009405896936194091
A,bn,4,1024,9624,accuracy_gain_a4_pp,0.13999999999999568
A,bn,4,1024,9625,P,-0.027468348717643032
A,bn,4,1024,9625,accuracy_target_minus_reuse_pp,0.7499999999999951
A,bn,4,1024,9625,G_a2,0.03052234345565097
A,bn,4,1024,9625,accuracy_gain_a2_pp,-0.539999999999996
A,bn,4,1024,9625,G_a4,0.003053994738007937
A,bn,4,1024,9625,accuracy_gain_a4_pp,0.20999999999999908
A,bn,4,2048,9621,P,-0.021045894006360255
A,bn,4,2048,9621,accuracy_target_minus_reuse_pp,1.2900000000000023
A,bn,4,2048,9621,G_a2,0.024751221531967182
A,bn,4,2048,9621,accuracy_gain_a2_pp,-0.6700000000000039
A,bn,4,2048,9621,G_a4,0.0037053275256069274
A,bn,4,2048,9621,accuracy_gain_a4_pp,0.6199999999999983
A,bn,4,2048,9622,P,-0.011484055432607443
A,bn,4,2048,9622,accuracy_target_minus_reuse_pp,0.5599999999999938
A,bn,4,2048,9622,G_a2,0.025643290135101582
A,bn,4,2048,9622,accuracy_gain_a2_pp,-0.14999999999999458
A,bn,4,2048,9622,G_a4,0.014159234702494139
A,bn,4,2048,9622,accuracy_gain_a4_pp,0.40999999999999925
A,bn,4,2048,9623,P,-0.01929511973311615
A,bn,4,2048,9623,accuracy_target_minus_reuse_pp,0.30999999999999917
A,bn,4,2048,9623,G_a2,0.029691696753198826
A,bn,4,2048,9623,accuracy_gain_a2_pp,0.11999999999999789
A,bn,4,2048,9623,G_a4,0.010396577020082676
A,bn,4,2048,9623,accuracy_gain_a4_pp,0.42999999999999705
A,bn,4,2048,9624,P,-0.013984213474221185
A,bn,4,2048,9624,accuracy_target_minus_reuse_pp,0.9600000000000053
A,bn,4,2048,9624,G_a2,0.03243344552213401
A,bn,4,2048,9624,accuracy_gain_a2_pp,-0.30999999999999917
A,bn,4,2048,9624,G_a4,0.018449232047912822
A,bn,4,2048,9624,accuracy_gain_a4_pp,0.6500000000000061
A,bn,4,2048,9625,P,-0.014395639088394807
A,bn,4,2048,9625,accuracy_target_minus_reuse_pp,0.7100000000000106
A,bn,4,2048,9625,G_a2,0.026462645698053677
A,bn,4,2048,9625,accuracy_gain_a2_pp,-0.36000000000000476
A,bn,4,2048,9625,G_a4,0.01206700660965887
A,bn,4,2048,9625,accuracy_gain_a4_pp,0.35000000000000586
B,raw,2,512,9721,P,0.1339837861547013
B,raw,2,512,9721,accuracy_target_minus_reuse_pp,1.7199999999999993
B,raw,2,512,9721,G_a2,0.1161627135650487
B,raw,2,512,9721,accuracy_gain_a2_pp,1.980000000000004
B,raw,2,512,9721,G_a4,-0.017821072589652598
B,raw,2,512,9721,accuracy_gain_a4_pp,0.26000000000000467
B,raw,2,512,9722,P,0.12385657860829968
B,raw,2,512,9722,accuracy_target_minus_reuse_pp,1.5000000000000013
B,raw,2,512,9722,G_a2,0.09785264386979398
B,raw,2,512,9722,accuracy_gain_a2_pp,1.4200000000000101
B,raw,2,512,9722,G_a4,-0.026003934738505707
B,raw,2,512,9722,accuracy_gain_a4_pp,-0.07999999999999119
B,raw,2,512,9723,P,0.11097024298966862
B,raw,2,512,9723,accuracy_target_minus_reuse_pp,1.2199999999999989
