task,checkpoint,checkpoint_sha256,source_id,init_id,initialization_seed,state,seed,adapt_T,lr,updates,role,engine,id,infer_T,calibration,ce,accuracy,actual_engine,targets,cal_T,cal_seed,batch,split,identity_path,gpu,legacy_id
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_e2_raw,2,raw,1.6443669022630434,0.6201,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_e4_raw,4,raw,1.4048584391193697,0.6653,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e2_bn9640,2,bn_cross,1.5694839522327761,0.6279,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e4_bn9640,4,bn_cross,1.444347945400304,0.6533,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e2_bn9640,2,bn_cross,1.5512352166379801,0.6266,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e4_bn9640,4,bn_cross,1.3144019310187898,0.6736,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e2_bn9740,2,bn_cross,1.5624991476737429,0.6335,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e4_bn9740,4,bn_cross,1.4487580352322431,0.6487,graph,10000,2.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e2_bn9740,2,bn_cross,1.5407897117990301,0.6275,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e4_bn9740,4,bn_cross,1.3112339927312568,0.6731,graph,10000,4.0,9740.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e2_bn9840,2,bn_cross,1.5613244294699282,0.6333,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c2_e4_bn9840,4,bn_cross,1.4459322311730125,0.6517,graph,10000,2.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e2_bn9840,2,bn_cross,1.5476652263736819,0.6252,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9621_T4_lr2e-05/step2048.pt,c6fc56154a783e61b8636951e95cb8124dad3debb97a307616d2707b2f426d82,A_s9621_a4_K2048,A,12450.0,adapted,9621.0,4.0,2e-05,2048,primary,graph,A_s9621_a4_K2048_c4_e4_bn9840,4,bn_cross,1.31207924520066,0.6712,graph,10000,4.0,9840.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step512.pt,7f354e108d1eba5c245ddc6803a7593aaff246f04c4d3b09be9113ec5b54c408,A_s9622_a2_K512,A,12450.0,adapted,9622.0,2.0,2e-05,512,primary,graph,A_s9622_a2_K512_e2_raw,2,raw,1.5124756047475618,0.6361,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step512.pt,7f354e108d1eba5c245ddc6803a7593aaff246f04c4d3b09be9113ec5b54c408,A_s9622_a2_K512,A,12450.0,adapted,9622.0,2.0,2e-05,512,primary,graph,A_s9622_a2_K512_e4_raw,4,raw,1.4329822124487022,0.6437,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step512.pt,7f354e108d1eba5c245ddc6803a7593aaff246f04c4d3b09be9113ec5b54c408,A_s9622_a2_K512,A,12450.0,adapted,9622.0,2.0,2e-05,512,primary,graph,A_s9622_a2_K512_c2_e2_bn9640,2,bn_cross,1.4171836989307893,0.6443,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step512.pt,7f354e108d1eba5c245ddc6803a7593aaff246f04c4d3b09be9113ec5b54c408,A_s9622_a2_K512,A,12450.0,adapted,9622.0,2.0,2e-05,512,primary,graph,A_s9622_a2_K512_c4_e4_bn9640,4,bn_cross,1.2908238894306532,0.664,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step1024.pt,540cbe2ef82dd2a169c6d257ea060636dfb6f54ac9da9fe61c5f9be20a8ef01f,A_s9622_a2_K1024,A,12450.0,adapted,9622.0,2.0,2e-05,1024,primary,graph,A_s9622_a2_K1024_e2_raw,2,raw,1.4907254922003077,0.6335,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step1024.pt,540cbe2ef82dd2a169c6d257ea060636dfb6f54ac9da9fe61c5f9be20a8ef01f,A_s9622_a2_K1024,A,12450.0,adapted,9622.0,2.0,2e-05,1024,primary,graph,A_s9622_a2_K1024_e4_raw,4,raw,1.4164085978684715,0.6447,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step1024.pt,540cbe2ef82dd2a169c6d257ea060636dfb6f54ac9da9fe61c5f9be20a8ef01f,A_s9622_a2_K1024,A,12450.0,adapted,9622.0,2.0,2e-05,1024,primary,graph,A_s9622_a2_K1024_c2_e2_bn9640,2,bn_cross,1.4118772191809257,0.6472,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step1024.pt,540cbe2ef82dd2a169c6d257ea060636dfb6f54ac9da9fe61c5f9be20a8ef01f,A_s9622_a2_K1024,A,12450.0,adapted,9622.0,2.0,2e-05,1024,primary,graph,A_s9622_a2_K1024_c4_e4_bn9640,4,bn_cross,1.2937137509198045,0.6652,graph,10000,4.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step2048.pt,f713eef48e98c372aefaae67322c5ab8b726969fecf086852c0ee8fc1c5ea645,A_s9622_a2_K2048,A,12450.0,adapted,9622.0,2.0,2e-05,2048,primary,graph,A_s9622_a2_K2048_e2_raw,2,raw,1.4950303302354877,0.644,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step2048.pt,f713eef48e98c372aefaae67322c5ab8b726969fecf086852c0ee8fc1c5ea645,A_s9622_a2_K2048,A,12450.0,adapted,9622.0,2.0,2e-05,2048,primary,graph,A_s9622_a2_K2048_e4_raw,4,raw,1.4127521727229468,0.6483,graph,10000,,,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step2048.pt,f713eef48e98c372aefaae67322c5ab8b726969fecf086852c0ee8fc1c5ea645,A_s9622_a2_K2048,A,12450.0,adapted,9622.0,2.0,2e-05,2048,primary,graph,A_s9622_a2_K2048_c2_e2_bn9640,2,bn_cross,1.398505127434223,0.6528,graph,10000,2.0,9640.0,,,,,
vision,/root/autodl-tmp/snn_revision_round3/models/formal/s9622_T2_lr2e-05/step2048.pt,f713eef48e98c372aefaae67322c5ab8b726969fecf086852c0ee8fc1c5ea645,A_s9622_a2_K2048,A,12450.0,adapted,9622.0,2.0,2e-05,2048,primary,graph,A_s9622_a2_K2048_c2_e4_bn9640,4,bn_cross,1.3227613769464428,0.6608,graph,10000,2.0,9640.0,,,,,
