id,mean_ce_change,max_item_loss_change,prediction_changes,targets_and_labels_equal
legacy_vision_s9623_K2048_a2_e2_bn_only_eager,-0.0035265637489152457,1.8710728883743286,1420,True
legacy_vision_s9623_K2048_a2_e4_bn_only_eager,-0.0023591451642293038,1.2459044456481934,926,True
legacy_vision_s9623_K2048_a4_e2_bn_only_eager,-0.007049475207808298,1.9440386295318604,1668,True
legacy_vision_s9623_K2048_a4_e4_bn_only_eager,0.0028093825548654028,1.2850866317749023,917,True
legacy_vision_s9624_K2048_a2_e2_bn_only_eager,0.0020959857537758975,2.1614341735839844,1314,True
legacy_vision_s9624_K2048_a2_e4_bn_only_eager,0.0018215509178522993,1.5957227945327759,879,True
legacy_vision_s9624_K2048_a4_e2_bn_only_eager,0.0005481655564159027,1.7841992378234863,1609,True
legacy_vision_s9624_K2048_a4_e4_bn_only_eager,-0.001215381995332443,1.2908859252929688,986,True
legacy_vision_s9625_K2048_a2_e2_bn_only_eager,0.00010631837903063435,2.0898597240448,1358,True
legacy_vision_s9625_K2048_a2_e4_bn_only_eager,0.0039242227643379035,1.3773226737976074,914,True
legacy_vision_s9625_K2048_a4_e2_bn_only_eager,-0.002651428401609923,2.4719207286834717,1567,True
legacy_vision_s9625_K2048_a4_e4_bn_only_eager,0.006651470752735644,1.3988196849822998,960,True
legacy_vision_s9621_K2048_a2_e2_raw_graph,-0.00013330805925648725,1.3534046411514282,21,True
legacy_vision_s9621_K2048_a4_e4_raw_graph,3.937691897148987e-05,0.6718710660934448,10,True
legacy_vision_s9622_K2048_a2_e2_raw_graph,9.111702069630745e-05,0.9943046569824219,31,True
legacy_vision_s9622_K2048_a4_e4_raw_graph,-0.00012360761119056818,1.6171000003814697,7,True
legacy_vision_s9623_K2048_a2_e2_raw_graph,3.4782328641735916e-06,1.4099026918411255,27,True
legacy_vision_s9623_K2048_a4_e4_raw_graph,-3.7819741852684885e-05,0.4711923599243164,9,True
legacy_vision_s9624_K2048_a2_e2_raw_graph,-0.00038639040142296466,1.1326818466186523,21,True
legacy_vision_s9624_K2048_a4_e4_raw_graph,0.00015484024854361955,0.5060477256774902,9,True
legacy_vision_s9625_K2048_a2_e2_raw_graph,0.00012390734180822705,1.1320624351501465,24,True
legacy_vision_s9625_K2048_a4_e4_raw_graph,-9.023819379505582e-05,0.70310378074646,15,True
