architecture,checkpoint,tag,T,batch,route,session,gpu,gpu_id,torch,cuda,copy_scope,warmup_capture_seconds,engine,round,repeat,wall_ms,cuda_ms,peak_allocated_gib,reserved_gib
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,4,21.537858992815018,21.513023376464844,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,5,21.669331938028336,21.64531135559082,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,6,21.574992686510086,21.550079345703125,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,7,21.641850471496582,21.616640090942383,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,8,21.585986018180847,21.561344146728516,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,eager,0,9,21.612484008073807,21.587968826293945,0.4752039909362793,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,0,3.260444849729538,3.2304320335388184,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,1,3.2537169754505157,3.2327680587768555,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,2,3.2604634761810303,3.2417919635772705,0.4665842056274414,0.62890625
language,original_frozen,frozen,2,1,full,8801,NVIDIA GeForce RTX 4090 D,0,2.6.0+cu124,12.4,D2D input ids/image; attention mask constant,1.0809153653681278,graph,1,3,3.245733678340912,3.229696035385132,0.4665842056274414,0.62890625
