id,T,seed,stage,step,training_seconds,checkpoint,gpu,split,ce,accuracy,texts,masked_tokens,accuracy_pct,lr
formal_T4_seed8621_step1792,4,8621,formal,1792,751.5173023864627,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step1792.pt,0,test,2.575875190902445,0.5243777452415812,4406,40980,52.43777452415812,2e-05
formal_T4_seed8621_step1792,4,8621,formal,1792,751.5173023864627,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step1792.pt,0,supplementary,2.684063604971705,0.5121951219512195,233,2132,51.21951219512195,2e-05
formal_T4_seed8621_step2048,4,8621,formal,2048,858.1687328666449,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step2048.pt,0,test,2.561778087627775,0.5236944851146901,4406,40980,52.36944851146901,2e-05
formal_T4_seed8621_step2048,4,8621,formal,2048,858.1687328666449,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step2048.pt,0,supplementary,2.6627015928278275,0.5164165103189493,233,2132,51.64165103189493,2e-05
formal_T4_seed8621_step4096,4,8621,formal,4096,1713.954446054995,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step4096.pt,0,test,2.549171707799827,0.5262811127379209,4406,40980,52.628111273792086,2e-05
formal_T4_seed8621_step4096,4,8621,formal,4096,1713.954446054995,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8621_lr2e-05/step4096.pt,0,supplementary,2.656063950335778,0.5220450281425891,233,2132,52.204502814258916,2e-05
formal_T4_seed8622_step512,4,8622,formal,512,215.83206586167216,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,1,test,2.6283162498479578,0.5143484626647145,4406,40980,51.434846266471446,2e-05
formal_T4_seed8622_step512,4,8622,formal,512,215.83206586167216,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step512.pt,1,supplementary,2.7456281721927436,0.49859287054409007,233,2132,49.85928705440901,2e-05
formal_T4_seed8622_step768,4,8622,formal,768,323.3317961394787,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step768.pt,1,test,2.6060368656526833,0.5170082967301123,4406,40980,51.70082967301123,2e-05
formal_T4_seed8622_step768,4,8622,formal,768,323.3317961394787,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step768.pt,1,supplementary,2.729306710482091,0.5046904315196998,233,2132,50.469043151969984,2e-05
formal_T4_seed8622_step1024,4,8622,formal,1024,429.8167450539768,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step1024.pt,1,test,2.5985974772482083,0.5194973157637872,4406,40980,51.949731576378724,2e-05
formal_T4_seed8622_step1024,4,8622,formal,1024,429.8167450539768,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step1024.pt,1,supplementary,2.682219851894853,0.5136022514071295,233,2132,51.36022514071294,2e-05
formal_T4_seed8622_step1792,4,8622,formal,1792,750.6158318556845,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step1792.pt,1,test,2.5769931531861756,0.5220351390922401,4406,40980,52.20351390922401,2e-05
formal_T4_seed8622_step1792,4,8622,formal,1792,750.6158318556845,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step1792.pt,1,supplementary,2.68180894395983,0.5164165103189493,233,2132,51.64165103189493,2e-05
formal_T4_seed8622_step2048,4,8622,formal,2048,858.536268170923,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step2048.pt,1,test,2.570024366338679,0.5215714982918497,4406,40980,52.15714982918497,2e-05
formal_T4_seed8622_step2048,4,8622,formal,2048,858.536268170923,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step2048.pt,1,supplementary,2.6612553337054226,0.5173545966228893,233,2132,51.73545966228893,2e-05
formal_T4_seed8622_step3840,4,8622,formal,3840,1614.1847401559353,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step3840.pt,1,test,2.5553951761734637,0.5285017081503173,4406,40980,52.850170815031724,2e-05
formal_T4_seed8622_step3840,4,8622,formal,3840,1614.1847401559353,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step3840.pt,1,supplementary,2.6519198114608065,0.5234521575984991,233,2132,52.34521575984991,2e-05
formal_T4_seed8622_step4096,4,8622,formal,4096,1723.1704816892743,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step4096.pt,1,test,2.549861042041401,0.5266959492435335,4406,40980,52.66959492435335,2e-05
formal_T4_seed8622_step4096,4,8622,formal,4096,1723.1704816892743,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8622_lr2e-05/step4096.pt,1,supplementary,2.6731496495220943,0.5187617260787992,233,2132,51.87617260787992,2e-05
formal_T4_seed8623_step512,4,8623,formal,512,218.41094881296158,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,0,test,2.6339743495523487,0.5152757442654954,4406,40980,51.527574426549535,2e-05
formal_T4_seed8623_step512,4,8623,formal,512,218.41094881296158,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step512.pt,0,supplementary,2.7303316074285453,0.5093808630393997,233,2132,50.93808630393997,2e-05
formal_T4_seed8623_step768,4,8623,formal,768,327.17193314805627,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step768.pt,0,test,2.6216721298109835,0.5170815031722792,4406,40980,51.70815031722792,2e-05
formal_T4_seed8623_step768,4,8623,formal,768,327.17193314805627,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step768.pt,0,supplementary,2.7051508795421073,0.5084427767354597,233,2132,50.84427767354597,2e-05
formal_T4_seed8623_step1024,4,8623,formal,1024,434.3999546431005,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step1024.pt,0,test,2.603004075909608,0.5209370424597365,4406,40980,52.09370424597365,2e-05
formal_T4_seed8623_step1024,4,8623,formal,1024,434.3999546431005,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step1024.pt,0,supplementary,2.6943216952608853,0.5196998123827392,233,2132,51.969981238273924,2e-05
formal_T4_seed8623_step1792,4,8623,formal,1792,761.5732863396406,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step1792.pt,0,test,2.57071006100031,0.525378233284529,4406,40980,52.5378233284529,2e-05
formal_T4_seed8623_step1792,4,8623,formal,1792,761.5732863396406,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step1792.pt,0,supplementary,2.670461030659488,0.5103189493433395,233,2132,51.031894934333955,2e-05
formal_T4_seed8623_step2048,4,8623,formal,2048,868.4670508801937,/root/autodl-tmp/snn0907/orthogonal_pilot_20260907/data/paper_experiments_20260908/formal/T4_seed8623_lr2e-05/step2048.pt,0,test,2.580026141921795,0.522132747681796,4406,40980,52.213274768179595,2e-05
