init_id,condition,infer_T,updates,contrast,n,mean,sd,low,high,positive,negative
B,bn,4,512,accuracy_gain_a2_pp,3,-0.8466666666666622,0.31533051443419235,-1.6299910892382714,-0.06334224409505318,0,3
B,bn,4,512,accuracy_gain_a4_pp,3,-0.03999999999999929,0.21794494717703514,-0.5814052623679059,0.5014052623679074,2,1
B,bn,4,512,accuracy_target_minus_reuse_pp,3,0.806666666666663,0.18147543451754605,0.35585669602534925,1.2574766373079767,3,0
B,bn,4,1024,G_a2,3,0.016050413423858084,0.003183802589773158,0.008141409343834215,0.023959417503881954,3,0
B,bn,4,1024,G_a4,3,0.00039535433299797695,0.0030161460529739273,-0.007097167821341465,0.007887876487337419,2,1
B,bn,4,1024,P,3,-0.015655059090860107,0.000995185005787337,-0.0181272356939049,-0.013182882487815312,0,3
B,bn,4,1024,accuracy_gain_a2_pp,3,-0.699999999999997,0.3260368077380199,-1.5099203295207042,0.10992032952071018,0,3
B,bn,4,1024,accuracy_gain_a4_pp,3,0.15333333333333496,0.08962886439832154,-0.06931710877989214,0.37598377544656203,3,0
B,bn,4,1024,accuracy_target_minus_reuse_pp,3,0.8533333333333318,0.3401960219246135,0.008239565882957378,1.6984271007837064,3,0
B,bn,4,2048,G_a2,3,0.007179684488906046,0.0020309535354092246,0.002134516220783332,0.01222485275702876,3,0
B,bn,4,2048,G_a4,3,0.006528728803901096,0.0010971153890748783,0.003803343091758555,0.009254114516043637,3,0
B,bn,4,2048,P,3,-0.0006509556850049503,0.002374863728966203,-0.00655044423439791,0.005248532864388009,1,2
B,bn,4,2048,accuracy_gain_a2_pp,3,-0.7666666666666636,0.07023769168568299,-0.9411467653693613,-0.592186567963966,0,3
B,bn,4,2048,accuracy_gain_a4_pp,3,0.3633333333333377,0.18230011885167274,-0.08952526676266981,0.8161919334293453,3,0
B,bn,4,2048,accuracy_target_minus_reuse_pp,3,1.1300000000000014,0.11532562594671211,0.8435152634545615,1.4164847365454414,3,0
